====================================
2016-01-10 17:34:39 INFO  Steps:28 - Browser started
2016-01-10 17:34:46 INFO  LoginPage:38 - Login page opened
2016-01-10 17:35:09 INFO  LastFmTest:40 - User SerP_94 is logged in successfully
2016-01-10 17:35:10 INFO  Steps:34 - Browser closed
====================================
2016-01-10 17:35:17 INFO  Steps:28 - Browser started
2016-01-10 17:35:17 INFO  LoginPage:38 - Login page opened
2016-01-10 17:35:51 INFO  UserPage:57 - User page opened
2016-01-10 17:36:11 INFO  LastFmTest:113 - User is logged out successfully
2016-01-10 17:36:14 INFO  Steps:34 - Browser closed
====================================
2016-01-10 17:36:23 INFO  Steps:28 - Browser started
2016-01-10 17:36:44 INFO  LoginPage:38 - Login page opened
2016-01-10 17:37:10 INFO  UserPage:57 - User page opened
2016-01-10 17:37:30 ERROR LastFmTest:72 - Comment is not posted
2016-01-10 17:37:33 INFO  Steps:34 - Browser closed
====================================
2016-01-10 17:37:44 INFO  Steps:28 - Browser started
2016-01-10 17:38:02 INFO  LastFmTest:53 - Search is completed successfully
2016-01-10 17:38:20 INFO  Steps:34 - Browser closed
====================================
2016-01-10 17:41:37 INFO  Steps:28 - Browser started
2016-01-10 17:41:43 INFO  LoginPage:38 - Login page opened
2016-01-10 17:42:01 INFO  UserPage:57 - User page opened
2016-01-10 17:43:22 INFO  Steps:34 - Browser closed
====================================
2016-01-10 17:46:31 INFO  Steps:28 - Browser started
2016-01-10 17:46:38 INFO  LoginPage:38 - Login page opened
2016-01-10 17:47:06 INFO  UserPage:57 - User page opened
2016-01-10 17:47:18 INFO  Steps:34 - Browser closed
====================================
2016-01-10 17:48:24 INFO  Steps:28 - Browser started
2016-01-10 17:48:30 INFO  LoginPage:38 - Login page opened
2016-01-10 17:48:50 INFO  UserPage:57 - User page opened
2016-01-10 17:49:07 INFO  Steps:34 - Browser closed
====================================
2016-01-10 17:51:08 INFO  Steps:28 - Browser started
2016-01-10 17:51:15 INFO  LoginPage:38 - Login page opened
2016-01-10 17:51:36 INFO  UserPage:57 - User page opened
2016-01-10 17:51:53 INFO  Steps:34 - Browser closed
====================================
2016-01-10 17:55:31 INFO  Steps:28 - Browser started
2016-01-10 17:55:37 INFO  LoginPage:38 - Login page opened
2016-01-10 17:56:04 INFO  UserPage:57 - User page opened
2016-01-10 17:56:19 INFO  UserPage:57 - User page opened
2016-01-10 17:56:21 INFO  Steps:34 - Browser closed
====================================
2016-01-10 18:06:24 INFO  Steps:28 - Browser started
2016-01-10 18:06:31 INFO  LoginPage:38 - Login page opened
2016-01-10 18:06:54 INFO  UserPage:57 - User page opened
2016-01-10 18:07:09 INFO  UserPage:57 - User page opened
